Date,E_ID,R_ID,Time,Cl2 (mg/L),Cu (mg/L),pH,T (°C),EC (μS/cm),UV254,cATP,cATP (pg/mL),THM (μg/L),TCC (#/mL),HNAP (%),cATP0
11/11/24,CVF,1,0,0.000,1.301,7.76,20.7,839.5,0.062,130,1.78,54.1,13510,62.1%,14600
11/11/24,CVF,1,2,0.006,0.479,7.57,22.3,846.9,0.045,53,0.73,54.6,11500,45.7%,14600
11/11/24,CVF,1,4,0.056,0.422,7.51,22.1,843.2,0.040,49,0.67,51.7,6950,39.9%,14600
11/11/24,CVF,1,8,0.121,0.402,7.55,21.2,845.1,0.042,25,0.34,53.3,5420,25.3%,14600
11/12/24,CVF,2,0,0.000,1.264,7.73,20.4,844.1,0.063,87,1.36,54.0,18290,58.1%,12817
11/12/24,CVF,2,2,0.004,0.399,7.48,22.2,848.5,0.040,55,0.86,50.3,9110,43.7%,12817
11/12/24,CVF,2,4,0.100,0.399,7.51,21.4,842.3,0.042,48,0.75,47.5,3810,36.5%,12817
11/12/24,CVF,2,8,0.177,0.372,7.52,20.3,841.9,0.041,23,0.36,45.6,1760,18.7%,12817
11/12/24,SS,1,0,0.307,0.213,7.53,21.6,845.4,0.036,22,0.30,49.7,4840,20.2%,14613
11/12/24,SS,1,4,0.019,0.793,7.57,19.7,841.2,0.052,22,0.30,50.2,6080,41.8%,14613
11/13/24,SS,1,8,0.004,1.025,7.59,20.5,843.7,0.060,19,0.26,49.3,8380,57.4%,14613
11/13/24,SS,1,12,0.000,1.199,7.58,20.3,835.6,0.063,29,0.40,49.5,10940,68.7%,14613
11/13/24,SS,1,24,0.000,1.616,7.72,20.5,836.8,0.074,75,1.03,50.2,19110,77.3%,14613
11/14/24,SS,1,36,0.000,1.756,7.74,20.3,840.1,0.076,495,4.83,50.7,29870,80.6%,20499
11/14/24,SS,1,48,0.000,1.829,7.74,20.5,839.1,0.079,1451,14.16,49.7,50760,83.0%,20499
11/15/24,SS,1,60,0.000,1.912,7.80,20.2,839.4,0.083,1719,20.73,49.7,77610,85.4%,16582
11/15/24,SS,1,72,0.000,1.897,7.82,20.7,838.9,0.085,2268,27.35,50.3,107213,NA,16582
11/16/24,SS,1,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
